datetime,text,username
2022-07-21 12:04:49+00:00,"@marcodiego72 @NackaSkoglund89 La cosa più grave è che non ha mandato a casa Ausilio. Uno dei peggiori DS della storia del calcio. Non so se è sua competenza scegliere il DS, ma con il pelato non si può lavorare.",cryptogag66
2022-07-21 12:04:42+00:00,"@Sbarellat0 @90ordnasselA @MarcoBellinazzo vediamo se sono un ciccione, dove abiti?",gervix4
2022-07-21 12:03:39+00:00,@renatobrunetta Senza Forza Italia avresti fatto il nano al circo #idiota #ingrato,NessunoDiVoi
2022-07-21 12:03:22+00:00,Il nano malefico insieme alla soubrette dove si collocheranno per fottere di nuovo noi italiani?,luigicasile
2022-07-21 12:03:16+00:00,"@Antonio_Tajani ma che è sta roba?
Avete messo la musichetta perchè ormai manco vai capite cosa pronuncia il nano?",MartyPsyko
2022-07-21 12:03:16+00:00,"Crisi di governo, Renato Brunetta lascia Forza Italia: ""Ha tradito la sua storia"" https://t.co/niMQDsUSLW .... lurido verme nano, levati dai coglioni anche te, nessuno ti rimpiangerà !!!",toro51071
2022-07-21 12:01:16+00:00,@llovebandana stupido ciccione,purpleepotatoo
2022-07-21 12:01:05+00:00,"@PaperinikEdonna @matteorenzi Se arriva allo 0,5% è grasso che cola",maurotroiani2
2022-07-21 12:00:49+00:00,@TweetDiPopolo E' nano ma lo troveremo🤣senza scorta!,asiram1308
2022-07-21 12:00:46+00:00,@AntonelloAng @dragonerossoen1 Se ne è andato anche il nano,Elena21073190
2022-07-21 12:00:20+00:00,@_Dluk_ ma te sei pelato e bianco alpino,soldatagranata
2022-07-21 11:59:56+00:00,@matlink1977 @mbartolotta63 Con quello che se magna sto' ciccione   hi lo assume? Lo dovrebbero pagare  15.000 euro al mese ma per fare le pulizie mi sembra una paga esagerata.,robydemicheli
2022-07-21 11:59:35+00:00,"@eadaimon @PalliCaponera Io no, in compenso ho una ragazza in intimo, normopeso, che dice ""non ditemi grassa"". Immagino sia dimagrita e comprensibilmente cerchi, anche se in un modo che non è il mio, conferme. Alcuni commenti sono da vomitare.",mariateresacip
2022-07-21 11:58:24+00:00,Onesto fa ridere perchè se non avesse vinto non l'avrebbero mai più cacata in qualsiasi foto/clip dato che il pelato la odia https://t.co/vg25cetd4N,Guess_we_should
2022-07-21 11:56:42+00:00,@fratotolo2 A  casa  il  nano e a  calci  in  culo  😅😅😅😅,Barby02353514
2022-07-21 11:56:31+00:00,@marbellapelato @mattia1908_ non sei seriamente pelato,soldatagranata
