datetime,text,username,target
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris,1
2022-07-21 12:56:15+00:00,@ViVilaVitaOra Un nano da giardino è già stato detto?,AlexAle2727,1
2022-07-21 12:55:39+00:00,"@AlviseAndolina @AnnickQuemper @_Nico_Piro_ @Sir_SamWise Eo savevo xè sempre cussì.

Basta che no ti fa ea fine del vedeo grasso",SerenoSteno,1
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris,1
2022-07-21 12:56:15+00:00,@ViVilaVitaOra Un nano da giardino è già stato detto?,AlexAle2727,1
2022-07-21 12:55:39+00:00,"@AlviseAndolina @AnnickQuemper @_Nico_Piro_ @Sir_SamWise Eo savevo xè sempre cussì.

Basta che no ti fa ea fine del vedeo grasso",SerenoSteno,1
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris,1
2022-07-21 12:56:15+00:00,@ViVilaVitaOra Un nano da giardino è già stato detto?,AlexAle2727,1
2022-07-21 12:55:39+00:00,"@AlviseAndolina @AnnickQuemper @_Nico_Piro_ @Sir_SamWise Eo savevo xè sempre cussì.

Basta che no ti fa ea fine del vedeo grasso",SerenoSteno,1
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris,1
2022-07-21 12:56:15+00:00,@ViVilaVitaOra Un nano da giardino è già stato detto?,AlexAle2727,1
2022-07-21 12:55:39+00:00,"@AlviseAndolina @AnnickQuemper @_Nico_Piro_ @Sir_SamWise Eo savevo xè sempre cussì.

Basta che no ti fa ea fine del vedeo grasso",SerenoSteno,1
2022-07-21 13:00:46+00:00,Vai a casa nano di merda e porta con te il bibitaro poltronaio   !!!!!!!!!!!! https://t.co/qslEOqlvgt,PredovanF,1
2022-07-21 13:00:35+00:00,@felicya2000 Il nano malvagio,katrinyanuo,1
2022-07-21 12:58:24+00:00,"@FedericaPito Non sei grassa. Stai benissimo!
Complimenti!",giutris,1
2022-07-21 12:56:15+00:00,@ViVilaVitaOra Un nano da giardino è già stato detto?,AlexAle2727,1
2022-07-21 12:55:39+00:00,"@AlviseAndolina @AnnickQuemper @_Nico_Piro_ @Sir_SamWise Eo savevo xè sempre cussì.

Basta che no ti fa ea fine del vedeo grasso",SerenoSteno,1
2022-07-21 13:05:55+00:00,@Beaoh11 Ho solo immaginato il dialogo tra il nano malefico e quello bastardo Bruno🤣🤣🤣 ....permettimi con sto caldo,dtb_robby,1
2022-07-21 13:05:27+00:00,@ViVilaVitaOra Concordo. Ritiro il nano e sostituisco con puffo,AlexAle2727,1
2022-07-21 13:10:43+00:00,@jacopo_iacoboni Beh c’è anche il merito di milioni di coglioni nostri connazionali! Chi sono gli imbecilli che votano Salvini? O Berlusconi? Eppure i sondaggi li danno in maggioranza.. non è Putin.. è ignoranza grassa..,MarcoRivax,1
2022-07-21 13:05:22+00:00,Finalmente resta un solo nano…😅😅😅 https://t.co/b59s8bUVqx,DigennalL,1
2022-07-21 13:05:07+00:00,@_ElPrincipe22 Io una domanda invece la farei a quel demente di direttore sportivo che abbiamo e/o ai Minus come te che gli leccano palle e pelata da anni https://t.co/fdaAwR7aur,daifaniente,1
2022-07-21 13:05:00+00:00,"@felicya2000 col Pd, ne hanno di tutte le risme, tra neri musulmani persino le sardine, c'è posto anche per lui il nano malefico",BeneWalter,1
2022-07-21 13:04:28+00:00,"Non dileggiamo la #Ronzulli, con le radiazioni dovute alle minchiate che avrà dovuto ascoltare dal nano arcoriano potrebbe chiedere l'invalidità civile.",LSveglia,1
2022-07-21 13:11:51+00:00,In giardino ho già Biancaneve e i sette nani..ma un posto per te figurati..l ottavo nano..Brunettolo https://t.co/65vVpPx90C,Cino98111075,1
2022-07-21 13:12:52+00:00,"Adesso siamo in vigile attesa di vedere anche Speranza, il nano, la pazza, il generale, il bibitaro, e via dicendo, fuori dai cogl**ioni.
Il pulmino lo guida Burioni.
#elezioni #spiaze #DraghiVatteneSUBITO",UltimoRimasto,1
2022-07-21 13:16:47+00:00,"Meno male, il  nano se ne andato.
Che sollievo.",Tissy01,1
2022-07-21 13:20:16+00:00,"@Cartabellotta No Brunetta è un nano politico non dà l'addio, ma semplicemente dopo aver tentato di estendere la sua statura politica... Dopo aver tentato fortuna nel grande circo politico de destra... torna mesto nel giardino assieme ai suoi 7 fratellini ... 🤣",AleAle52359118,1
2022-07-21 13:19:59+00:00,@geppodanese Il nano ha la virtù meno apparente,_Basarab,1
2022-07-21 13:23:25+00:00,"Il solo fatto di non vedere più Speranza, Lamorgese e SOPRATTUTTO il nano malefico che si è autoeliminato mi riempiono di gioia.",GianfrancoRasc3,1
2022-07-21 13:22:38+00:00,Dovrebbe fare il nano da giardino https://t.co/LKfyi3JiMG,berttrauttman,1
2022-07-21 13:24:20+00:00,"@FedericaPito Ma che grassa, stai benissimo",massimiliacoach,1
2022-07-21 13:31:06+00:00,"@andreabytoto @LucaBizzarri Cazzo abbiamo trovato quello che ha fermato il treno con il culo! Complimenti amico,a quel che capisco ti reputi l Italiano più intelligente...ma perché non vai tu e ci insegni a vivere? Bevi di meno amico! Hai un ego troppo grasso..mi piacerebbe conoscerti..di solito siete i peg",MarcoCa57749526,1
2022-07-21 13:31:02+00:00,@mimmomolinari Se arriva il nano!!!,1V4vendetta,1
2022-07-21 14:04:46+00:00,"@giulicitte52 @Marziaxmarziax @LucaBizzarri Servo nato ue, cioè di noi stessi, è un bel complimento che ha fatto a draghi🙂 Invece lo zar nano, lui si che ci ha tirato in mezzo a una guerra inutile, come lo definisce?",harmanleroux,1
2022-07-21 14:04:46+00:00,@LaCapone88 Ti faccio una proposta: tu e il tuo nano in una casa di 50 mq nel centro di Napoli ed io con con mia moglie e i nostri nani nella tua ad Aversa 😂😂😂,jiennense81,1
2022-07-21 14:03:47+00:00,quando sono triste vado tra i caricamenti di @Idonotcombdolls e cerco gli screen in cui insulta il cuoco pelato bastardo di tiktok,iitslux24,1
2022-07-21 14:03:31+00:00,"ora doveva avere quelle labbra e doveva averle nel modo più sexy possibile.
“marshall, non fare esplodere la tenda” lanciò al nano una boccetta di funghi esplosivi con cui stava sperimentando nuovi cocktail “mamma e papà hanno da fare” puntualizzò prima che cominciasse a",serafinehogws,1
2022-07-21 13:59:05+00:00,"@felicya2000 @DanielaMgam Col pd o con Renzi ,nano maledetto",vitoanguti,1
2022-07-21 13:58:21+00:00,@grande_luciano Il nano più cattivo del pianeta,VirginiaDeLeyv1,1
