datetime,text,username,target
2022-01-31 23:55:23+00:00,"O jesu, il pelato ci ritenta #ijeru",Exxon_Valdes_, 
2022-01-31 23:55:07+00:00,"De Andrè cantava nel Giudice, ...."" Batte la lingua sul tamburo Fino a dire che un nano È una carogna di sicuro Perché ha il cuore troppo Troppo vicino al buco del culo"". Purtroppo al Governo abbiamo oltre ai nani altri personaggi nani di livello e cattivi nell'animo.",carmenvanetti1, 
2022-01-31 23:50:57+00:00,Manila vs il pelato io questa donna la amo da quando non fa la marionetta di sole #GFVIP,conglomerato, 
2022-01-31 23:50:56+00:00,"Comunque il pelato non fa mai parlare Manila e da solo la parola a Solercia, che schifo #gfvip #ijeru #jessvip #jeru",tittihz, 
2022-01-31 23:43:30+00:00,aspettando l’1 di notte per un uomo ventottenne pelato,svgnofthetimws, 
2022-01-31 23:39:06+00:00,Sono le 00:38 e io sto guardando un video di un beagle obeso che è riuscito a dimagrire,filoama, 
2022-01-31 23:38:15+00:00,"E dopo il papà, anche il piccolo Thanos compie gli anni. Buon primo compleanno mio piccolo nano distruttore di mondi. Ricorda sempre che la vita è fatta di scelte, o la o l’orfanotrofio! ",BibboBaggins, 
2022-01-31 23:37:17+00:00,Spero che Berlusc0n1 mu*ia prima della fine del Gr4nde Frat3llo perché non voglio perdermi per nulla al mondo la comunicazione che darà il pelato in casa,leeveean, 
2022-01-31 23:35:00+00:00,Supportato da un nano della politica come Brunetta arriva a ridicolizzarlo ,mikedells, 
2022-01-31 23:34:57+00:00,"Ricordatevi che la Celentano ha fatto piangere tanto Umberto per i commenti, ora è professionista. Diceva che Alessandro era sempre uguale, ora balla a Tokyo. Diceva ad Andreas che non era versatile, ha vinto Amici. Diceva a Lauren che era grassa, balla in tutto il mondo. ❤️",youngwerther__, 
2022-01-31 23:33:18+00:00,"comunque, a parte gli scherzi, silenzio l'hashtag e torno a guardare solo amigos21 che, nonostante le raccomandazioni, è meno pilotato del programma del pelato",alexis___97, 
2022-01-31 23:32:02+00:00,mattarella adesso dopo le congratulazioni del pelato sta bestemmiando pure in aramaico #gfvip ,plowiue, 
