datetime,text,username,target
2022-02-28 21:41:38+00:00,Madonna fate allontanare il figlio di Bagascio da quella testa pelata immediatamente lo può infettare con la pelatite,GioCellRed,1
2022-02-28 20:53:39+00:00," Qui si tratta della Russia però e penso ci sia una netta e sostanziale differenza. In un nano secondo, se vuole, la Russia ci dissolve. Così per dire..",MariaLu42891261,0
2022-02-28 20:00:28+00:00,Questi capelli stanno benissimo a Jisoo but then again quali capelli non le stanno bene sarebbe una divinità anche da pelata,airplaneoversea,0
2022-02-27 17:45:43+00:00, In un posto terribile dove ogni settimana vengo costretto a portare un dolce diverso. Fino alla fine torno obeso ma almeno loro sono contenti,marcello_depa,0
2022-02-27 14:01:27+00:00, Dal negare un virus a negare una guerra in un nano secondo,ArtemisTitana,0
2022-02-27 13:44:16+00:00, Haaa ciccione pezzo de merda rottoinculo,blue85205210,1
2022-02-27 12:21:31+00:00," Perchè non te ne vai in Russia a leccare il culone flaccido di Putin? A voi fascisti di merda piace tanto leccare il culo ai dittatori, no?",BOrchestrati,1
2022-02-27 08:51:54+00:00," metti la Corea del ciccione, fa il galletto perché è protetto dai russi. dovessero implodere, si porterebbero dietro anche lui, secondo me",GandalfGrigioOf,1
2022-02-27 00:34:45+00:00," Scusa se aggiungo in coda al tuo capra, capra anche ….. obeso testa di cazzo.😡",massimotwiter1,1
2022-02-26 17:40:50+00:00," Certamente, una nana economia crollerà quando l inflazione che hanno e già del15 /17%,hanno un economia fragile il PIL e fantasma neanche lo si percepisce in Russia 😁",DomenicaElio1,0
2022-02-26 15:48:11+00:00, Voi e il ciccione siete la vergogna di questo paese. Più paraculo di Salvini non c'è proprio nessuno.,ele_driver,1
2022-02-26 15:34:22+00:00,"È arrivato il momento di vedere vestiti sui siti online, che ovviamente non comprerò mai che bella la vita da grassa e tirchia",justalonern,0
2022-02-26 10:53:08+00:00," E soprattutto il povero Pirlo è arrivato 4 con Bernardeschi, Rabiot, Ramsey, Bentancur Kulusevski e McKennie grasso. Manco un mago…",alessandropirii,1
2022-02-25 19:47:09+00:00," Barù salverà il suo culone , sta dimostrandosi un grande giocatore di rimessa DELUSA 😞",DanielaLiegi,1
2022-02-25 16:24:56+00:00," Hai truciolare davvero scadente in quella crapa pelata. Ma ti senti?? Partito arcobaleno delle mie balle. Se volete aiutare l'Ucraina, dite a zelensky di accettare la neutralità, mi pare una richiesta di buon senso.",lucamaes3,1
2022-02-25 15:55:54+00:00,questo tweet è la tredicesima ragione che mi mancava per farmi pelata scacco matto ru5514 ,lokiandroll,0
2022-02-25 12:19:20+00:00,Ma vi rendete conto che ieri sera il cazzoncello con la riga di lato e la nana con le tette rifatte hanno inventato una storia omofobica contro la Caldonazzo #gfvip ?,tobefreeforever,1
2022-02-25 00:16:35+00:00,"Ricordatevelo ragazzi che SE dite merdate ma non sono dette in diretta allora per Alfonso nano di merda Signorini non valgono, eddai si dovrebbe sapereeeee #jerù",nondormopiu18,1
2022-02-24 23:24:03+00:00, sei grassa,ogeerard,1
2022-02-24 23:04:07+00:00,ma perché la Mediaset non licenzia il pelato? È davvero così potente? letteralmente l’Italia intera che vede il gf lo lincerebbe e gli sputerebbe sulla pelata perché sta ancora lì? È controproducente.,tveongreyjoy,1
2022-02-24 22:32:10+00:00," Qui il body shaming non viene tirato in causa,vero? Dire ""ciccione"" a uno di 264 kg non è bello, dire a una concorrente che deve tacere perché ha la voce lamentosa invece è consentito? Che schifo ",chattiva,0
2022-02-24 16:51:49+00:00," Capisco, ma mi riferivo alle dimensioni. Il cetriolo russo è una varietà nana.",IJIT_jfl,1
2022-02-24 15:13:56+00:00,Torna #Lukaku e ammazziamo il bue più grasso...,nuvolanza,1
2022-02-24 10:45:18+00:00, non so se sei più pelato o più coglione,AntenucciJacopo,1
2022-02-24 10:25:41+00:00,Io proprio vede che è divorato dal godimento mentre mi taglia i miei bellissimi ricci Comunque non sono super pelato me li ha solo asciugati male(vabbè come sempre questo è proprio io minimo sindacale) ,bennyxx9,0
2022-02-23 17:15:32+00:00, Veramente quando hanno venduto il pippone grasso allegri non c era però l ha fatto riprendere Altra medaglia per il mister,DomenicoF19,1
2022-02-23 14:47:59+00:00,la voglia che non ho di seguire le lezioni per continuare nana,babooshkae,0
2022-02-23 12:55:34+00:00,avere il culone e la vita stretta insieme be like se non mi metto la cintura mi vedete pure il buco del culo coi jeans addosso,apartetae,0
2022-02-23 12:23:35+00:00, È il più obeso del parco sotto casa. 😂😂😂,comedianisdead,1
2022-02-23 10:26:08+00:00,Tanto schifoso ciccione non verrai rieletto anche se provi a riabilitarti. Torna alla fogna del tuo vecchio partito ,MagiFausto,1
2022-02-23 09:38:23+00:00,"Ok. Alza quel culone Letizia! Hai 3 ore libere per sistemare casa. Forzaaaaa! OK, ma prima mi siedo sul divano a sgranocchiare le 4 mandorle ",uokylulli,0
2022-02-23 07:47:11+00:00," È… Boh! Tipo carne seccata a bassa temperatura e trattata con sale, pepe e -credo- coriandolo. Niente grasso (immagino marcirebbe). Come snack al volo è ottimo. (Cioè: per me lo è, batte di diverse lunghezze qualsiasi snack in circolazione)",TehHarkster,0
2022-02-22 20:52:20+00:00, Mi ricorda un po' Diawara.... culone.,fransis23salam,1
2022-02-22 20:29:20+00:00,"RT 🎉🎭Giovedì grasso con la famiglia Pavironica 📆Giovedì 24 febbraio, si festeggia il carnevale con Sandrone, ma non sarà possibile seguire il corteo. In piazza Grande sarà obbligatorio l’uso della mascherina 👉 ",IgersModena,0
2022-02-22 16:55:25+00:00," Che cazzo ne so, io so pelato da 30 anni 😂",dantecorneli,0
2022-02-22 15:16:08+00:00, la pelata di tuo padre è una cosa unica,tuopadremorto17,0
2022-02-22 14:04:51+00:00,"Idk forse dipende da come li preparano? Perché tipo anche i ravioli io ai ristoranti giapponesi non li posso mangiare mi sanno solo di grasso, mentre ai ristoranti cinesi/presi al supermercato e fatti a casa sono buonissimi ",vore_yibo,0
2022-02-22 12:35:39+00:00," Ma non per lui che è bravissimo e Muro probabilmente è il miglior inedito per ora, ma immaginatevi la canzone cantata da dei bambini “tondo tondo ciccione” verrebbe solo decontestualizzata. Tutto sbagliato a partire dalla prima esibizione con l’imbottitura oscena.",BileMarco,0
2022-02-22 09:18:38+00:00," Calenda è obeso, più di Borghezio, perfino nella scatola cranica.",noventano,1
2022-02-22 06:08:10+00:00, quella nana davvero fa schifo!!!,padme2332,1
2022-02-21 23:21:13+00:00,Il modo in cui il ratto di Signorini pelato di merda deve costantemente interrompere Soleil perché deve passare il discorso come vuole lui mi ha rotto il cazzo lo fa da mesi e lo fa solo con lei perché deve rigirarsela come vuole #gfvip,DioBenedicaMe,1
2022-02-21 15:27:08+00:00, Non ti ami perché sarai grassa e tutta brufoli 😂😂😂😂,salidaparallela,1
2022-02-21 14:27:43+00:00, Che strano... in quale trasmissione era sto medico di acari? In quella delle nullità di Fazio e la morosa nana del nano al governo. Ma c'è ancora chi la guarda sta merda di trasmissione? Comunque questo è Burioni... ,bicchio56,1
