datetime,text,username,target
2022-04-09 23:40:58+00:00,ho messo il mio podcast per dormire e a random è partita la sigla di nana che era in coda da oggi pomeriggio mi sono presa malissimo cristo,ackermavnn,0
2022-04-09 23:25:03+00:00,Ippopotamo obeso,KIILH3R,1
2022-04-09 23:05:32+00:00," No amore , non sono nana quella nana sei tu",irisprep,1
2022-04-09 23:00:51+00:00, o dormire come na cunna su una poltrona per poi essere svegliata da un tipo pelato che mi chiede le chiavi di un elicottero🤪,giadyx__,0
2022-04-09 22:59:17+00:00,chi me lo ha fatto fare di vedermi edit su nana a quest'ora,100sch3letri,0
2022-04-09 22:46:00+00:00, tu e quel ciccione di suan fate i sociologi da circo STRA RIDICOLI,lorenzomelee3,1
2022-04-09 22:00:59+00:00," Per me l'EU ha già allargato troppo il suo campo di azione sulle nostre vite, e meno fa meglio è. In generale la cosa migliore che un potere dello stato può fare, virtualmente sempre, è niente. Lo stato a tutti i livelli (EU compresa) è un leviatano obeso da mettere a dieta.",LucioMM1,0
2022-04-09 21:22:10+00:00, Brutto caprone pelato incompetente quanto godrò quando verrai esonerato,27Peppe,1
2022-04-09 21:21:40+00:00,"sentirmi dire da mia sorella ""quanto sono grassa"" anche se è sottopeso mi sento presa in giro",converseusate,0
2022-04-09 21:20:41+00:00," Non prendere il pezzo con sola carne, prendila con 2 lati con le costole e cuocila in forno appoggiata sugli ossi. Non serve olio e il suo grasso la mantiene più morbida.",agnoluck,0
2022-04-09 21:18:00+00:00,ha abbandonato la moglie all'altare e parla di storia d'amore ma fatti uno shampoo pelato bastardo ,arteni_sabin,1
2022-04-09 21:05:50+00:00," ""spettino soprattutto il pelato"" 💆🏻‍♀️",_Iride_24,0
2022-04-09 20:58:41+00:00,Il pelato deve veramente esplodere deve dormire con gli occhi aperti perché sta rischiando tantissimo,etilIetas,1
2022-04-09 20:48:27+00:00," Non ho abbastanza esperienza in merito per parlarne così approfonditamente, ma mio nipote fa boxe, è alto 1.78 e deve stare nei 52 kg, livello di massa grassa inesistente ed è in forma",Leftmad,0
2022-04-09 20:38:53+00:00, sei pelato e di cognome fai esposito: la tua opinione è irrilevante,bashir_221928,1
2022-04-09 20:32:34+00:00,"io ormai stanca del pelato, penso come tutti nel resto #Amici21 #alexwyse #Alex #fantaamici ",alexpensami,1
2022-04-09 20:30:36+00:00,Non inquadrate mai più quel cesso di trudy che stasera quella pelata gliela spacco #amici21,suvnyjeno,1
2022-04-09 20:24:39+00:00,il fatto che i migliori vengano eliminati sempre per colpa del pelato,sofipietrobono,1
2022-04-09 20:21:58+00:00,Lorella vorrebbe prendere a mazzate il pelato così tanto in questo momento io la capisco bene #Amici21,postmalocchio,1
2022-04-09 20:21:42+00:00,È tornato l'Allegri culone.,il_muto,1
2022-04-09 20:18:46+00:00,Sto pelato stava togliendo Dybala. Incredibile,clacolosimo,1
2022-04-09 20:13:42+00:00,Il pelato rosica perché avrebbe fortemente voluto avere tre talenti come loro #Amici21,trallalalalala_,1
2022-04-09 20:11:08+00:00, Prima o poi gli salta sulla pelata io lo so,giohabit,0
2022-04-09 20:05:42+00:00,"il pelato è terrorizzato dai 3 allievi di lorella, lui li teme così tanto, lui non sa più che inventarsi per trascinare il suo pupillo in finale soprattutto perchè l'altro ha più numeri, guardatelo come si agita è seriamente in difficoltà, percepisco la disperazione da qui 🙏🏻😢",Giuh_h,1
2022-04-09 20:02:48+00:00,alex è stato bravissimo il pelato deve tacere,tenersistretti,1
2022-04-09 20:01:32+00:00," Alzi la mano un uomo con pochi capelli, in carne e con gli occhiali che ama farsi chiamare: quattrocchi ciccione pelato. Questo giochetto si può fare con qualsiasi categoria.",ric_pardi,0
2022-04-09 19:57:25+00:00,Alex scocciato dal pelato... Posso capirlo benissimo ... #Amici21 ,KingLuxifer,1
2022-04-09 19:55:42+00:00,“solo tanta voce” ad alex? ma come ti permetti brutta bagascia pelata #Amici21 ,scrivilescemo,1
2022-04-09 19:54:39+00:00,ma non voglio illudermi perché so che al posto di sissi ci sarà tondo ciccione,lamilanese_,1
2022-04-09 19:24:02+00:00, Lui è proprio brutto grasso mezzo stempiato con le labbra piccole. E simpatico come un gatto attaccato ai maroni. Evento FILO fiera MICO MILANO,MadameDidy,1
2022-04-09 19:20:06+00:00, Preferisco centomila volte Krunic che quel nano di merda,cardinalismo,1
2022-04-09 19:06:48+00:00," Comunque qui è in posa da esposizione, normalmente è grassa.",OriginalValki,1
2022-04-09 19:03:59+00:00, Possiamo concludere con: -dire avere troppo grasso fa male come messaggio generale -criticare direttamente una persona è fuoriluogo e dannoso Ci sta?,5vees1,0
2022-04-09 18:11:56+00:00, Hai ragione Nicolò è impensabile vedere quel nano argentino con la maglia rossonera e sacrificare il nostro Brian. Anche se è un giocatore valido ma mai e poi mai dovrebbe andare a Milano FORZA DIAVOLO SEMPRE 😈🔴⚫😈,AndreaAdami10,1
2022-04-09 17:53:35+00:00, già lo fece il nano malefico nel 2010 e tutti muti...,Maxmar662,1
2022-04-09 17:45:48+00:00,ultima doccia prima di vedere il nano,IF1GOTYOU,0
2022-04-09 17:21:41+00:00, Io di sicuro non sono il massimo estimatore del nano da giardino. Ma oggi serve gente che tiene la palla davanti. Altrimenti stiamo sempre a prendere le sfuriate loro.,IononDevo,1
2022-04-09 17:13:31+00:00, E per fare morire un pianta grassa ce ne vuole eh...vabeh l'importante è riconoscerlo e preservare la flora evitando di prender altre piante da uccidere🤣,nutssman,0
2022-04-09 16:54:10+00:00,Matti sotto l’ultimo post di Tommi Stanza💀 (grazie a questo commento abbiamo capito che non dovremmo mai preoccuparci di una sua futura “pelata”😅) ,endlesslyfg,0
2022-04-09 16:35:35+00:00, si ma già è nano non vorrei vederlo come se fosse una fomichinainina,icarvsfvlls,1
2022-04-09 16:30:05+00:00, Peccato che tutti questi morti siano a causa di questo nano grasso e corrotto,Omicron_21,1
2022-04-09 16:16:58+00:00,"vabbè, ha appena confermato che canterà una canzone nuova al coachella, harry giuro che ti vengo a cercare e ti faccio pelato",harryysshands,0
2022-04-09 16:14:44+00:00,Il Frosinone culone ha vinto è finito il sogno playoff,skiptomylaud,0
