datetime,text,username,target
2022-05-31 22:26:08+00:00, Fottuto obeso di merda torna a correre,reppecccca,1
2022-05-31 18:21:42+00:00,lui però è + pelato di undi ,ciaosonoalicee,0
2022-05-30 21:26:39+00:00,body curve per non dire grandissimo culone 🙏🏻 ,louissorridimi,1
2022-05-29 22:13:45+00:00, pelata da quando hai diritto di parola?,restoaguardare,1
2022-05-29 17:30:48+00:00,hai la faccia come il culo altra becera che si aggiunge alle altre stando seduta troppo sulla poltrona ti viene il culone mendecatta ,ANTONINORABOTTI,1
2022-05-29 16:50:59+00:00,ho finito nana sono a metà tra lo sconvolgimento assoluto e l’ammirazione,svneaterx,0
2022-05-29 16:04:55+00:00,Ribadisco un concetto già espresso molte volte: According f1 twitter Max è sfortunato e Leclerc culone #MonacoGP #MonteCarloGP,MarcoPonz_,0
2022-05-29 12:48:17+00:00,Quest’anno che abbiamo una buona macchina si abbatte una sfiga pazzesca. Piove. Serve il culone di Ancelotti. #MonacoGP,Arik27Giovanni,0
2022-05-28 21:36:02+00:00, Bella questa battuta. Ne sai anche che fanno ridere? #cicciona #mettitiadieta #grassa,jenaduemila,1
2022-05-28 19:58:46+00:00," Vince il Real,ma solo per il culone di Ancelotti",damincalza,0
2022-05-28 16:00:41+00:00," Io sono obeso da quando la mia tiroide ha smesso di funzionare correttamente. E da quando mi è stata iniettata una schifezza, funziona pura peggio nonostante la dieta. Che poi, dopo che sei stato a stecchetto per un mese e non hai perso un gr., ti stufi e smetti.",tarkonte,0
2022-05-27 23:48:08+00:00," Fai bene, sei obeso",PierluigiGuidi,1
2022-05-27 18:27:12+00:00, lei è solo una studentessa pelata,ffcomunista,1
2022-05-27 15:00:32+00:00, Vista così col culone che hai c'entri a malapena 🤣🤣🤣,BianchiManuel8,1
2022-05-26 19:34:04+00:00, Ho notato che sei di buon umore.. PS scusate se scrivo in maniera strana ma ho portato la nana di mia nipote alle prove del saggio di danza… negate tutte e per sopportare lo strazio ho fatto aperitivo dalle 16.30 alle 20.00,fataignorante72,0
2022-05-26 14:44:41+00:00," Tu te fidi solo di renzie il pappone, berlusca il mafioso, selfini lo scemo e la nana fascistona. Bravo, ottima scelta!! 😂😂😂",MariaAl28960990,1
2022-05-25 12:34:57+00:00," Hahaha che ridere ste ciccione schifose, che credevano di riuscire a farsi rimorchiare? Haha ma fatemi il piacere schifose #bodyshaming",LucaGibero,1
2022-05-25 11:30:51+00:00," La violenza psicologica e grave quanto quella fisica, è riconosciuto. Non sto paragonando un ""obeso di merda"" ad uno stupro (qualche avvocato certamente lo avrà fatto) ma il processo mentale della signora è il medesimo.",borderborder_,0
2022-05-25 10:01:33+00:00," È una cazzata perché adesso le ciccione si sentiranno libere di essere ciccione, quindi la boiler Cup sarà il motivo per cui le spese sanitarie sì alzeranno",paul69trap,1
2022-05-25 09:42:05+00:00,la pelata da troppa aria al cervello dio santo ,sara_artemide,1
2022-05-25 06:09:54+00:00," Vecchia nana guerrafondaia, ricattatrice, inetta e parassita.",ESurfer2,1
2022-05-24 18:53:23+00:00,ma la smettete di difendere il cesso bifobico mezzo pelato per piacere,willhvrondl,1
2022-05-24 12:34:40+00:00," Laiko perchè capisco la tua posizione, ma non sono d'accordo con te in questo particolare caso. E non ti darò del ciccione di merda perchè non lo sei e sarebbe cmq una falsità.",pandrake1,0
2022-05-24 10:47:48+00:00,"Tik tok sta raggiungendo livelli di tossicità assurdi: Persone che scambiano ciò che vedono per notizie vere, professionisti che prendono in giro i loro pazienti postando le loro storie, challenge da discoteca a chi va a letto con la persona più grassa. Mah...",anima_brigante,0
2022-05-23 14:09:27+00:00," Lautaro è un nano, pure lento, che non sa tirare in porta e che sparisce per 3 mesi a campionato. Bastoni molto più forte per il suo ruolo",asvpxIeo,1
2022-05-23 13:57:32+00:00,a volte mi chiedo perché sono nata cicciona e sono cresciuta cicciona per quanto io ci abbia provato a perdere tutto quel grasso che ho sui fianchi e sulle cosce ma niente sembra impossibile odio la mia vita da cicciona onestamente ammiro chi riesce ad amarsi e accettarsi al 100%,bIuengreyside,0
2022-05-22 20:26:08+00:00, ma parli tu che sei nano,estic4zz,1
2022-05-22 20:00:16+00:00, Fatti uno shampoo pelato di merda ,ILRENATIANO18,1
2022-05-22 19:58:14+00:00,"Il goblin che va via dalla Roma e vince il campionato è una cosa che non mi passerà mai, schifoso nano inutile",pollogrini4,1
2022-05-22 15:28:16+00:00, VERO lui l'unico pelato rispettabile,sugorana,0
2022-05-22 13:07:54+00:00, Coniglio nano per caso? :),masafa75,0
2022-05-20 17:47:36+00:00, Con i ballerini attorno che a stento riescono a reggerla per quanto è grassa,LAlimini76,1
2022-05-19 20:52:00+00:00,A volte ripenso al fatto che se non fossi un ciccione sarei un twink incredibile,dooyjaaan,0
2022-05-19 20:49:18+00:00,grazie xananas stasera sognerò quel pelato di merda,sciocco_basita,1
2022-05-19 20:26:33+00:00, ..una mia ex collega toglieva tutte le “palline” di grasso dalla MORTADELLA 😱 ...mezza giornata per farsi ‘na schifezza di panino,DondiMarisa,0
2022-05-19 18:45:16+00:00, A riflettere il sole e fare abbronzare di più le altre persone . E io son mezzo pelato 🤣🤣🤣,Alex02289148,0
2022-05-19 11:43:15+00:00, Azz proprio una nana capisco,lesbvpun,1
2022-05-18 22:44:20+00:00,"Come quando torni a casa tardi da un ape lungo, apri il frigo per cercare del cibo e sbam ti ricordi che il giorno prima hai passato ore intere al super e ti sei scordato il latte per la colazione del nano. Papà dell'anno.",francesco_frenk,0
2022-05-18 17:00:23+00:00," Abuso è qualcosa in più dell'usum. Ma nel senso comune abuso è qualcosa di grave. O dal vostro cervello avete cancellato termini quali ciccione, brutto, cozza, etc...",ArbitElegan,0
2022-05-18 11:20:34+00:00," non è vero. Se non hai il tavolo da cucina in casa, vai al McDonald per vedere un po' di vita. No, non sono scelte personali, SEMBRANO scelte personali, muori ciccione sfigato che è colpa tua (LOL NO)",chilisummer,1
2022-05-18 09:44:46+00:00,Instagram vuole che riguardi nana,Quelloliacaso,0
