datetime,text,username,target
2022-04-09 23:47:48+00:00,Non lo capisco e stanno a parlare di quel .. nano … di … messi,porcatrvia, 
2022-04-09 23:41:40+00:00, Bimba nano e bimbo tutti a letto. M: *sbadiglia e annuisce*,justAivil, 
2022-04-09 23:40:58+00:00,ho messo il mio podcast per dormire e a random è partita la sigla di nana che era in coda da oggi pomeriggio mi sono presa malissimo cristo,ackermavnn, 
2022-04-09 23:35:22+00:00, Questo nano ha rotto le palle,Lucy_simplyLucy, 
2022-04-09 23:30:24+00:00,"E il bello è che il grasso è nel range standard, ho massa muscolare in eccesso. Mi viene da ridere. ",Maestra_Miyagi, 
2022-04-09 23:25:03+00:00,Ippopotamo obeso,KIILH3R, 
2022-04-09 23:24:40+00:00, è pelato uo non ce la faccio piu,kbmlvr, 
2022-04-09 23:23:27+00:00, buonanotte 💜,la___nana_, 
2022-04-09 23:16:32+00:00,Lo amooooo Nunzio lorella e Alex che asfaltano il pelato sono i miei eroi 🤣🤣🤣 ,CaresanaSimona, 
2022-04-09 23:13:42+00:00, Che ora è pelato il bubino che sembra ancora più bubino. Meno male ricrescono. Ai angeli ricrescono al diavolo no👹😇ti adoro stanza🌹,MariasoleEvens3, 
2022-04-09 23:12:02+00:00,"Alex stasera incazzato nero con il pelato è stato rappresentante e portavoce di tutti noi, grazie mille. #amici #alexwyse #amici21 ",dramatic_mads, 
2022-04-09 23:11:16+00:00,il santo ancora più cesso con la pelata,sinbetcha, 
2022-04-09 23:10:45+00:00, “amo lo sai che ho sognato che il pelato mandava al ballottaggio tutti e tre i cantanti” “ah ho amche sognato che al secondo ballottaggio andavano nunzio e crytical” ti prego come hai fatto a rimanere seria,meredithgrigia, 
2022-04-09 23:10:29+00:00,poi al pelato glielo insegnano ❤️‍🩹 #Amici21 ,darveyfeels_, 
2022-04-09 23:09:54+00:00,Comunque vorrei farvi notare come sanGiovanni abbia tirato il merdone quando si è fatto pelato lo vedete che sono i pelati il problema possiamo sterminarli,amartiidaqui, 
2022-04-09 23:09:27+00:00,"Ho perso 700gr di grasso e messo su 600gr di massa muscolare in un mese, ma non basta. E io mi sono rotta le palle.",Maestra_Miyagi, 
2022-04-09 23:05:32+00:00," No amore , non sono nana quella nana sei tu",irisprep, 
2022-04-09 23:03:03+00:00,ti lecco la pelata se succede LOUIS PORTACELO ,acmattia_1899, 
2022-04-09 23:00:51+00:00, o dormire come na cunna su una poltrona per poi essere svegliata da un tipo pelato che mi chiede le chiavi di un elicottero🤪,giadyx__, 
2022-04-09 23:00:00+00:00, non questa eresia perfav mi sento male solo a leggere fissa e pelato nella stessa frase,nightwe2met, 
2022-04-09 22:59:58+00:00,ora si resiste solo x vedere la coppa nelle mani di sissi e la distruzione del pelato da parte di alex buon proseguimento,mytevrsricochet, 
2022-04-09 22:59:30+00:00,"""o mio dio adesso dovrò farmi la pelata una volta rientrato in casetta"" ",bellissimagds, 
2022-04-09 22:59:17+00:00,chi me lo ha fatto fare di vedermi edit su nana a quest'ora,100sch3letri, 
2022-04-09 22:59:12+00:00,non lo posso vedere con la pelata madonna che cazzata che hai fatto,F1R34W4Y, 
2022-04-09 22:58:25+00:00,"Che bello quando ci hai messo 2 anni per tirarti fuori dalla bulimia e altri 8 a capire ed imparare a volerti bene e ad accettarti e poi arriva il tuo fidanzato a dirti che ""sei grassa"". Salutiamo tutti con un caldo abbraccio la mia autostima che va via. Ciao mitica.",Lets_Joke, 
2022-04-09 22:57:23+00:00,Appena capiremo chi odia il pelato lo metteremo in una campana di vetro e lo faremo vincere #jeru ,Viperelia1, 
2022-04-09 22:56:07+00:00,perché a me purtroppo di quello che pensa il pelato.. ,clvffrd, 
2022-04-09 22:56:01+00:00,cosa fate se domani segna il nano,chiamatemifra, 
2022-04-09 22:55:52+00:00,albe si farà la pelata allora (si scherza amici non mi uccidete è una battuta) #amici21,sonomartiii, 
2022-04-09 22:55:48+00:00,sta molto meglio pelato comunque,christieroad__, 
2022-04-09 22:55:32+00:00,il santo pelato mi fa paura,siateliberi_, 
2022-04-09 22:55:32+00:00,vedo sangio e penso solo al meme ca passat topo gigio con la faccia di sangio pelato,piacereangela, 
2022-04-09 22:55:02+00:00,"scusate, ma s4n gi0v4nni è pelato? non si riconosce più",darkofjin, 
